2010-07,25.2
2010-08,29.6
2010-09,36.4
2010-10,33.6
2010-11,34.4
2010-12,24.5
2011-01,27.3
2011-02,48.3
2011-03,78.6
2011-04,76.1
2011-05,58.2
2011-06,56.1
2011-07,64.5
2011-08,65.8
2011-09,120.1
2011-10,125.7
2011-11,139.1
2011-12,109.3
2012-01,94.4
2012-02,47.8
2012-03,86.6
2012-04,85.9
2012-05,96.5
2012-06,92.0
2012-07,100.1
2012-08,94.8
2012-09,93.7
2012-10,76.5
2012-11,87.6
2012-12,56.8
2013-01,96.1
2013-02,60.9
2013-03,78.3
2013-04,107.3
2013-05,120.2
2013-06,76.7
2013-07,86.2
2013-08,91.8
2013-09,54.5
2013-10,114.4
2013-11,113.9
2013-12,124.2
2014-01,117.0
2014-02,146.1
2014-03,128.7
2014-04,112.5
2014-05,112.5
2014-06,102.9
2014-07,100.2
2014-08,106.9
2014-09,130.0
2014-10,90.0
2014-11,103.6
2014-12,112.9
2015-01,93.0
2015-02,66.7
2015-03,54.5
2015-04,75.3
2015-05,88.8
2015-06,66.5
2015-07,65.8
2015-08,64.4
2015-09,78.6
2015-10,63.6
2015-11,62.2
2015-12,58.0
2016-01,57.0
2016-02,56.4
2016-03,54.1
2016-04,37.9
2016-05,51.5
2016-06,20.5
2016-07,32.4
2016-08,50.2
2016-09,44.6
2016-10,33.4
2016-11,21.4
2016-12,18.5
2017-01,26.1
2017-02,26.4
2017-03,17.7
2017-04,32.3
2017-05,18.9
2017-06,19.2
2017-07,17.8
2017-08,32.6
2017-09,43.7
2017-10,13.2
2017-11,5.7
2017-12,8.2
2018-01,6.8
2018-02,10.7
2018-03,2.5
2018-04,8.9
2018-05,13.1
2018-06,15.6
2018-07,1.6
2018-08,8.7
2018-09,3.3
2018-10,4.9
2018-11,4.9
2018-12,3.1
2019-01,7.7
2019-02,0.8
2019-03,9.4
2019-04,9.1
2019-05,9.9
2019-06,1.2
2019-07,0.9
2019-08,0.5
2019-09,1.1
2019-10,0.4
2019-11,0.5
2019-12,1.5
2020-01,6.2
2020-02,0.2
2020-03,1.5
2020-04,5.2
2020-05,0.2
2020-06,5.8
2020-07,6.1
2020-08,7.5
2020-09,0.6
2020-10,14.6
2020-11,34.5
2020-12,23.1
2021-01,10.4
2021-02,8.2
2021-03,17.2
2021-04,24.5
2021-05,21.2
2021-06,25.0
2021-07,34.3
2021-08,22.0
2021-09,51.3
2021-10,37.4
2021-11,34.8
2021-12,67.5
2022-01,55.3
2022-02,60.9
2022-03,78.6
2022-04,84.0
2022-05,96.5
2022-06,70.3
2022-07,91.4
2022-08,74.6
2022-09,96.0
2022-10,95.5
2022-11,80.5
2022-12,112.8
2023-01,144.4
2023-02,111.3
2023-03,123.3
2023-04,97.6
2023-05,137.4
2023-06,160.5
2023-07,160.0
2023-08,114.8
2023-09,134.2
2023-10,99.9
2023-11,107.1
2023-12,113.5
2024-01,126.0
2024-02,123.0
2024-03,103.7
2024-04,137.0
2024-05,172.1
2024-06,164.1
2024-07,196.8
2024-08,216.0
2024-09,141.1
2024-10,165.8
2024-11,154.1
2024-12,154.6
